PTO_X,PTO_Y,WI0,WI1,WI2,WI3,WI4,WI5,WI6,WI7,WI8,WI9
66.11766,79.40925,-67,-79,-74,-74,-74,-74,-69,-68,-99,-68
73.50416,87.085754,-64,-75,-75,-76,-75,-65,-67,-67,-99,-67
86.33574,23.073032,-59,-49,-49,-48,-48,-60,-99,-62,-66,-66
85.67728,55.081635,-56,-59,-59,-59,-58,-61,-99,-59,-75,-99
80.97182,68.214516,-44,-49,-50,-49,-49,-52,-49,-45,-99,-46
84.942314,57.60511,-48,-41,-41,-40,-41,-57,-99,-54,-67,-46
82.994225,47.588043,-59,-46,-45,-45,-45,-66,-62,-62,-72,-62
85.60216,70.60484,-48,-59,-58,-59,-59,-53,-53,-51,-99,-59
82.72366,50.295364,-52,-34,-35,-35,-34,-61,-58,-59,-70,-99
81.18826,88.060394,-55,-63,-63,-63,-63,-58,-61,-62,-99,-62
85.548035,81.85375,-52,-60,-59,-58,-59,-59,-57,-59,-99,-56
87.911865,91.28244,-45,-54,-54,-52,-53,-54,-54,-52,-99,-54
87.42484,90.064156,-45,-54,-54,-54,-54,-46,-54,-52,-99,-54
84.243256,19.018044,-60,-59,-57,-59,-59,-67,-63,-65,-57,-65
69.06444,31.01145,-66,-50,-51,-50,-50,-76,-74,-72,-60,-75
77.71816,51.703156,-64,-49,-49,-49,-49,-69,-99,-62,-67,-63
88.771454,95.208046,-51,-61,-62,-61,-61,-59,-62,-60,-99,-59
77.36643,39.141216,-65,-50,-50,-50,-50,-74,-99,-99,-70,-99
72.04308,80.343285,-57,-66,-72,-73,-74,-67,-61,-61,-99,-65
73.90317,46.532192,-68,-51,-50,-51,-51,-77,-68,-75,-72,-67
69.28089,22.970722,-76,-58,-58,-58,-58,-99,-99,-99,-49,-99
82.23664,51.134624,-52,-37,-36,-36,-36,-60,-58,-59,-66,-99
86.42374,76.852455,-41,-49,-46,-46,-47,-44,-48,-45,-99,-45
71.55607,76.7967,-58,-64,-65,-63,-65,-68,-59,-59,-99,-59
61.518024,86.32806,-65,-99,-99,-99,-99,-65,-99,-68,-99,-65
69.0915,29.441208,-68,-51,-51,-51,-51,-77,-99,-72,-57,-99
69.60115,45.070236,-58,-48,-48,-48,-48,-66,-64,-64,-55,-99
76.20742,47.715588,-59,-45,-45,-45,-45,-71,-71,-61,-74,-64
88.371826,91.76976,-48,-57,-59,-58,-58,-51,-54,-54,-99,-54
66.252945,87.3027,-63,-75,-76,-75,-75,-70,-65,-65,-99,-65
86.53197,77.88123,-41,-49,-51,-50,-53,-45,-48,-49,-99,-48
85.6292,63.21388,-49,-54,-54,-55,-57,-53,-99,-49,-79,-49
72.87175,64.42426,-45,-55,-54,-54,-55,-58,-46,-47,-78,-47
86.55902,82.56488,-44,-47,-55,-54,-55,-48,-51,-49,-99,-53
81.7294,71.89806,-52,-64,-66,-65,-63,-63,-52,-52,-99,-51
80.23444,51.78438,-56,-38,-38,-39,-38,-62,-99,-99,-66,-99
70.87965,87.41063,-62,-75,-76,-75,-75,-68,-66,-66,-99,-66
86.234344,83.13342,-44,-54,-55,-54,-55,-48,-52,-52,-99,-53
86.47785,75.85074,-40,-53,-46,-54,-47,-46,-43,-41,-99,-45
69.283295,80.32974,-61,-66,-99,-73,-74,-67,-61,-61,-99,-65
85.8893,52.082184,-53,-41,-42,-41,-42,-56,-59,-55,-64,-54
69.118546,28.52072,-68,-51,-51,-51,-51,-77,-99,-72,-57,-99
69.307945,22.591702,-76,-58,-58,-58,-58,-99,-99,-99,-49,-99
74.22459,64.77623,-45,-58,-57,-54,-58,-55,-42,-43,-99,-43
86.06517,31.276459,-57,-43,-44,-43,-44,-60,-99,-67,-99,-99
86.50491,81.833916,-43,-47,-55,-54,-55,-48,-51,-49,-99,-53
69.2809,33.799984,-66,-53,-52,-52,-51,-76,-70,-70,-64,-75
72.44894,72.00476,-51,-56,-56,-56,-54,-59,-53,-52,-99,-52
83.83299,43.120964,-55,-44,-46,-44,-44,-65,-61,-65,-67,-59
81.58728,39.547314,-58,-43,-43,-43,-43,-66,-99,-99,-74,-99
85.62316,60.09017,-49,-53,-52,-53,-52,-58,-99,-49,-79,-99
82.514046,72.19587,-52,-65,-66,-66,-54,-63,-53,-52,-99,-52
88.365616,94.91024,-51,-61,-62,-61,-61,-59,-62,-60,-99,-59
71.58312,87.46478,-62,-75,-76,-75,-75,-67,-67,-67,-99,-67
86.461914,18.936825,-60,-55,-55,-56,-55,-63,-68,-66,-60,-65
83.83299,42.38999,-55,-50,-50,-50,-50,-65,-61,-99,-67,-59
69.307945,24.161942,-75,-58,-58,-58,-58,-99,-99,-99,-49,-99
72.31366,80.5328,-57,-66,-72,-73,-74,-67,-61,-61,-99,-65
85.95695,34.904263,-57,-44,-44,-43,-43,-62,-99,-55,-67,-57
85.03396,75.00423,-48,-60,-60,-61,-60,-50,-56,-56,-99,-56
85.43982,80.52715,-50,-62,-60,-61,-62,-51,-56,-56,-99,-56
80.0721,51.324142,-55,-37,-37,-37,-37,-66,-60,-63,-66,-99
69.17267,38.564857,-63,-51,-50,-51,-50,-70,-70,-70,-63,-66
70.277565,45.828285,-57,-48,-48,-48,-48,-66,-64,-64,-55,-99
83.19046,72.41245,-52,-53,-54,-54,-54,-54,-50,-50,-99,-50
77.69111,39.249504,-62,-50,-50,-50,-50,-70,-99,-99,-70,-99
85.06102,69.71144,-43,-60,-59,-60,-59,-53,-56,-46,-99,-59
78.85897,14.4156065,-77,-76,-76,-76,-76,-85,-99,-75,-66,-78
86.33574,29.002316,-58,-56,-56,-56,-57,-57,-99,-62,-64,-99
60.543976,84.98633,-62,-78,-99,-77,-72,-65,-64,-65,-99,-65
84.925735,76.27667,-48,-60,-60,-61,-60,-50,-56,-56,-99,-56
69.28089,20.155115,-77,-58,-58,-58,-58,-99,-99,-99,-49,-99
95.31918,87.05177,-50,-62,-63,-63,-63,-55,-56,-56,-99,-56
75.69574,68.322815,-59,-65,-66,-65,-65,-71,-58,-58,-99,-58
69.307945,17.88097,-78,-57,-58,-59,-57,-99,-99,-99,-56,-99
71.150215,86.76087,-65,-75,-76,-75,-75,-68,-66,-66,-99,-66
85.95695,30.05817,-57,-52,-52,-52,-52,-60,-99,-67,-64,-99
85.541985,20.01975,-58,-54,-53,-55,-53,-63,-68,-66,-61,-64
73.74083,39.68268,-68,-54,-53,-54,-54,-76,-99,-99,-69,-99
85.169235,71.44411,-46,-58,-58,-59,-59,-52,-53,-58,-99,-59
86.84982,21.881813,-60,-50,-49,-50,-49,-60,-99,-62,-65,-66
77.01469,52.000965,-58,-44,-44,-44,-44,-66,-72,-62,-66,-63
73.31235,43.275585,-59,-47,-47,-46,-47,-69,-99,-67,-64,-99
68.708275,39.08707,-56,-43,-42,-43,-42,-68,-99,-65,-53,-99
84.898674,80.77081,-52,-62,-61,-61,-62,-53,-57,-59,-99,-56
84.7634,73.74533,-52,-65,-63,-65,-64,-53,-53,-53,-99,-52
86.72136,88.30438,-45,-54,-54,-54,-54,-46,-54,-52,-99,-54
85.52098,81.745445,-54,-60,-59,-58,-59,-52,-60,-61,-99,-61
86.56572,54.89779,-49,-44,-44,-44,-44,-54,-50,-53,-67,-49
73.03735,48.18365,-71,-54,-53,-54,-54,-75,-72,-72,-77,-72
87.878586,95.09975,-54,-64,-62,-63,-64,-59,-62,-56,-99,-99
95.048615,89.05519,-60,-72,-74,-74,-74,-61,-66,-67,-99,-66
67.63284,80.32974,-67,-79,-74,-74,-74,-74,-69,-68,-99,-68
86.74158,25.076445,-58,-49,-49,-48,-48,-60,-99,-62,-66,-66
85.68638,35.77061,-57,-43,-43,-43,-43,-62,-99,-55,-67,-57
69.74086,36.182423,-64,-52,-52,-52,-52,-76,-70,-70,-63,-75
83.965,63.90988,-42,-44,-44,-44,-44,-56,-45,-45,-70,-46
85.95389,70.71314,-48,-59,-58,-59,-59,-53,-53,-51,-99,-59
87.72246,90.68684,-46,-54,-54,-53,-53,-49,-54,-52,-99,-54
80.18033,52.24462,-59,-39,-40,-39,-40,-68,-99,-99,-70,-99
82.13525,88.710144,-54,-63,-63,-63,-63,-58,-61,-62,-99,-62
60.89572,81.38559,-67,-78,-74,-77,-72,-77,-64,-65,-99,-65
87.44568,95.04561,-56,-64,-62,-64,-65,-59,-62,-56,-99,-99
91.39596,85.99594,-52,-66,-65,-65,-65,-55,-58,-58,-99,-58
86.2614,86.30098,-44,-50,-50,-49,-49,-45,-99,-52,-99,-99
84.861145,57.33438,-48,-43,-43,-43,-43,-58,-50,-50,-68,-49
86.71149,87.37666,-52,-64,-64,-64,-64,-57,-61,-57,-99,-60
73.474686,14.902922,-84,-73,-73,-73,-73,-85,-99,-99,-65,-99
71.688934,14.767556,-83,-73,-73,-73,-73,-99,-99,-99,-65,-99
73.91,68.53939,-61,-62,-63,-62,-62,-69,-60,-60,-99,-60
72.8209,49.26658,-69,-53,-53,-53,-53,-77,-74,-73,-70,-99
85.304535,76.73692,-50,-60,-60,-60,-60,-48,-56,-56,-99,-56
69.82203,37.45486,-64,-46,-46,-46,-46,-70,-70,-70,-62,-66
84.60105,74.801186,-48,-62,-60,-61,-60,-50,-53,-54,-99,-54
72.92586,63.31427,-46,-55,-54,-56,-55,-54,-46,-47,-78,-47
77.258194,47.127796,-68,-58,-58,-58,-59,-76,-68,-68,-69,-67
81.01582,65.01988,-46,-50,-50,-46,-49,-58,-45,-45,-76,-46
86.05164,48.45438,-52,-41,-39,-41,-40,-59,-58,-53,-68,-56
86.072,74.767815,-38,-53,-46,-54,-47,-46,-43,-41,-99,-45
69.497345,25.353163,-75,-58,-58,-58,-58,-99,-99,-99,-49,-99
85.80143,85.00148,-44,-50,-51,-51,-51,-43,-52,-52,-99,-53
80.86359,70.32782,-42,-49,-50,-49,-49,-57,-49,-49,-99,-49
73.91,68.728905,-61,-62,-63,-62,-62,-69,-60,-60,-99,-60
86.29515,47.344383,-56,-36,-36,-37,-36,-59,-57,-60,-66,-60
82.18936,71.68147,-52,-59,-66,-58,-59,-62,-49,-49,-99,-49
67.8493,79.81535,-65,-80,-79,-77,-78,-74,-62,-61,-99,-64
63.980183,87.19438,-63,-75,-77,-75,-75,-70,-64,-63,-99,-61
84.3846,87.10593,-53,-55,-55,-55,-55,-55,-61,-61,-99,-61
93.9393,90.08397,-58,-72,-67,-67,-67,-60,-64,-56,-99,-64
77.86028,68.241585,-59,-63,-63,-64,-63,-65,-60,-58,-99,-59
80.85674,42.931458,-61,-41,-41,-41,-41,-67,-99,-64,-74,-99
86.50491,78.96416,-41,-54,-51,-54,-53,-48,-48,-49,-99,-49
78.313416,48.806335,-65,-57,-57,-57,-57,-71,-58,-59,-74,-99
66.63174,80.11316,-67,-79,-74,-74,-74,-74,-69,-68,-99,-68
63.033195,79.40925,-68,-75,-74,-73,-72,-75,-68,-67,-99,-68
71.52901,79.26035,-57,-66,-72,-67,-65,-68,-63,-63,-99,-62
59.70523,84.14705,-63,-78,-74,-77,-72,-65,-64,-65,-99,-65
86.1734,31.114025,-56,-43,-44,-43,-44,-60,-99,-67,-99,-99
70.525505,41.705345,-59,-46,-46,-46,-46,-69,-99,-64,-67,-66
83.94563,17.474873,-62,-60,-59,-58,-59,-67,-63,-66,-53,-65
87.92903,87.83691,-52,-64,-64,-64,-64,-57,-61,-57,-99,-60
72.69005,43.329735,-60,-47,-51,-42,-51,-69,-99,-67,-64,-99
80.992035,44.528774,-60,-43,-44,-44,-43,-67,-68,-63,-71,-99
69.578514,17.799751,-76,-59,-58,-59,-59,-99,-99,-99,-52,-99
71.63724,77.98792,-59,-72,-72,-72,-65,-65,-59,-59,-99,-59
91.23361,84.99422,-52,-66,-65,-65,-65,-55,-58,-58,-99,-58
81.943436,16.067068,-76,-60,-59,-58,-59,-67,-63,-75,-56,-78
80.86116,15.146582,-76,-71,-71,-71,-71,-67,-63,-75,-64,-78
86.04837,59.117935,-48,-38,-38,-38,-38,-55,-99,-54,-69,-46
69.38912,35.045353,-66,-52,-52,-52,-52,-76,-70,-70,-63,-75
77.42496,14.578046,-81,-68,-68,-67,-67,-85,-99,-75,-68,-78
85.54199,52.61798,-56,-59,-59,-59,-58,-61,-99,-59,-75,-99
85.812546,51.751637,-56,-54,-54,-54,-54,-63,-99,-59,-75,-99
72.604454,40.197067,-67,-53,-53,-53,-53,-74,-99,-99,-64,-99
81.15437,45.665848,-60,-43,-44,-44,-43,-67,-68,-63,-71,-99
74.88164,46.28071,-62,-46,-47,-48,-47,-72,-71,-68,-68,-64
77.18146,48.473633,-59,-45,-45,-45,-45,-71,-71,-61,-74,-99
69.19972,28.926815,-69,-55,-55,-55,-55,-77,-99,-99,-57,-99
86.15987,48.860477,-52,-38,-37,-37,-38,-58,-58,-55,-68,-56
82.78825,83.04496,-53,-62,-62,-61,-62,-55,-63,-62,-99,-62
85.321106,47.154877,-56,-42,-43,-42,-43,-59,-57,-60,-66,-60
69.38912,37.481934,-64,-57,-56,-56,-57,-74,-70,-70,-64,-75
67.30817,87.08611,-64,-75,-76,-75,-75,-70,-65,-65,-99,-65
86.694305,80.832214,-43,-50,-51,-50,-51,-48,-48,-49,-99,-49
78.665146,49.2395,-63,-57,-57,-57,-57,-71,-58,-59,-74,-99
69.335,25.461452,-73,-59,-60,-59,-60,-99,-99,-99,-53,-99
74.80287,87.60016,-60,-75,-76,-76,-75,-67,-66,-67,-99,-66
71.81979,48.96877,-58,-38,-39,-38,-38,-66,-74,-73,-66,-99
